,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,6,6,0,2,0,0,0,0,0,0,0,0,3,0,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,6,6,0
2,0,0,0,0,0,0,0,0,2,2,0,3,1,0,0,0,0,0,0,0,0,6,12,3,2,2,0,0,0,0,0,0,0,3,3,2,8,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,6,12,3
3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,11,1,0,0,0,0,1,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,3,11
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,0,0,2
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,5,0,0,0
6,0,0,0,0,0,8,0,8,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,3,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
7,0,0,0,0,0,0,7,0,10,0,0,3,0,7,0,0,0,0,0,0,0,14,6,0,2,0,0,2,0,0,0,0,0,3,0,2,6,0,0,1,0,0,0,0,0,0,5,0,1,0,2,0,3,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,6,9,0
8,0,0,0,0,0,0,0,5,2,10,0,3,1,0,7,0,0,0,0,0,0,6,20,10,2,2,0,0,2,0,0,0,0,3,3,2,8,5,0,1,1,0,0,0,0,0,0,4,0,1,0,0,3,3,0,0,0,0,6,4,0,4,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,6,12,6
9,0,0,0,0,0,8,0,8,3,2,7,0,11,1,0,7,0,0,0,0,8,0,10,17,8,2,0,0,0,0,0,0,0,0,1,1,0,6,3,0,1,0,0,0,0,8,0,0,1,0,0,0,0,3,1,0,0,0,0,14,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9
10,0,8,0,0,0,0,16,6,8,3,0,5,1,10,1,0,6,0,0,0,0,7,0,6,17,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,2,0,0,2,0,0,4,0,0,3,0,0,0,2,2,9,0,8,0,4,13,3,0,0,0,0,8,0,0,0,0,0,2,0,0,2,0,0,0,0
11,0,0,7,0,0,0,6,14,5,10,1,0,3,6,12,3,5,11,5,5,0,0,6,0,7,19,9,2,2,0,5,0,0,0,0,0,0,5,0,4,5,0,0,0,2,0,0,9,0,0,1,0,0,0,1,1,9,0,7,0,3,10,2,0,5,5,0,7,2,0,0,0,0,0,0,0,1,0,0,0
12,0,0,0,6,0,0,0,4,11,3,9,0,0,3,4,10,3,5,11,5,1,0,0,5,0,9,16,7,0,3,0,2,0,0,0,0,0,0,2,0,1,4,0,0,0,0,1,0,10,0,0,0,0,0,0,0,1,5,0,3,0,0,9,1,0,5,1,0,5,7,0,0,0,0,0,0,1,0,0,0
13,0,2,0,0,6,0,2,0,6,10,1,9,0,0,2,3,9,2,4,10,2,2,1,0,7,0,6,15,6,0,2,0,2,0,0,2,1,0,0,8,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,2,0,3,6,0,2,0,0,6,0,0,7,0,0,2,7,0,6,0,0,0,0,2,1,0
14,0,0,0,0,0,2,0,0,0,3,9,0,5,0,0,0,2,8,1,3,6,0,0,0,0,4,0,5,12,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,3,0,9,0,0,0,0,0,0,0,0,2,0,0,0,1,5,0,0,3,0,1,0,5,0,5,0,0,5,0,0,0
15,0,0,0,0,0,0,1,0,0,2,1,8,0,10,2,2,5,7,13,6,1,5,0,0,0,2,1,2,7,11,14,4,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,10,0,3,0,8,0,0,0,0,0,0,0,0,1,0,0,0,6,10,0,0,5,0,0,0,4,0,4,0,0,4,0,0
16,0,0,13,3,0,0,0,0,0,0,0,0,5,0,9,1,1,4,6,12,3,0,2,13,3,0,0,0,1,5,10,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,13,4,0,0,0,0,0,0,0,0,0,13,3,0,5,6,0,0,4,0,0,0,1,13,3,0,0,1,13
