,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,5,0,0,2,0,0,0,0,0,0,2,0,1,0,0,5,2,0,0,5,0,0,5,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1
2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2,7,4,0,5,0,0,0,0,0,0,5,1,0,0,0,2,10,0,0,2,4,0,2,4,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0
3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,2,6,2,0,13,8,0,0,0,0,0,2,1,0,8,0,0,7,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0,6,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,5,5,2,6,4,3,13,6,0,0,0,2,0,3,1,0,13,3,0,7,5,0,0,5,0,0,0,0,0,1,2,0,3,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,5,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,6,3,1,6,4,3,11,3,0,0,0,1,0,1,1,3,13,3,0,8,3,0,1,4,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0
6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,4,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,2,2,3,5,2,6,4,2,1,8,2,0,5,0,1,0,0,3,8,11,2,2,7,2,2,0,3,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,4,0,0
7,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,3,0,0,1,0,0,0,0,5,4,0,0,0,0,0,0,4,4,2,4,7,4,2,0,0,7,1,5,4,0,0,0,2,8,6,10,4,1,6,4,1,0,1,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,3,0
8,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,6,4,1,0,0,0,0,0,0,5,4,3,0,0,0,0,0,2,6,3,1,9,5,2,0,0,0,6,6,4,4,0,0,2,7,6,5,12,3,0,8,3,0,0,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,3
9,0,0,10,0,15,5,2,0,10,0,0,0,0,0,0,0,0,0,0,12,2,5,0,0,10,0,0,0,0,0,0,0,0,0,0,1,7,5,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,1,5,2,0,7,3,0,0,0,0,5,3,2,3,0,0,1,4,5,4,11,1,0,7,2,0,0,0,0,0,4,3,13,10,0,0,0,0,0,0,0,0,2,3,2,0,0,0
10,0,2,0,9,5,20,10,4,0,12,2,4,0,4,0,0,0,0,0,2,14,4,4,0,0,7,0,0,0,0,0,2,0,5,0,0,3,3,5,0,5,0,0,0,2,0,0,9,0,0,2,0,0,0,0,0,2,1,0,3,2,0,0,5,0,7,0,0,0,0,0,0,1,2,1,13,3,0,4,2,0,0,0,0,0,1,3,10,15,5,5,0,0,5,0,0,5,0,2,0,5,0
11,0,0,1,0,8,10,22,12,3,2,11,1,3,0,3,0,0,8,0,0,4,13,3,0,0,0,2,8,0,0,0,0,0,0,5,0,0,11,1,7,0,3,0,0,0,1,0,0,8,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,4,0,9,8,0,0,0,0,0,1,10,3,13,3,0,0,4,0,2,0,2,0,0,2,6,17,7,13,3,0,4,0,0,7,0,4,0,7
12,0,0,0,3,0,5,12,19,11,1,2,9,1,1,0,3,0,0,13,3,0,4,11,1,0,0,0,2,8,0,0,0,1,0,5,7,0,1,8,0,4,0,2,0,0,2,1,0,0,8,0,0,0,5,5,0,8,2,1,0,0,0,0,0,2,2,1,9,8,5,2,0,0,5,1,7,8,13,3,0,0,2,1,4,0,2,0,0,0,7,14,7,12,2,0,6,0,0,8,0,1,1
13,0,5,0,0,0,2,2,17,15,16,6,3,6,2,0,0,0,0,3,9,8,0,3,9,0,0,1,0,0,5,0,5,0,3,0,4,12,2,2,5,2,1,0,0,5,0,0,3,0,0,13,3,0,0,2,1,0,7,0,0,0,0,0,2,0,5,0,0,5,5,4,1,0,0,1,6,4,5,10,4,0,0,0,0,1,0,0,0,2,0,9,10,4,14,4,0,8,0,0,5,2,0
14,0,0,4,0,0,0,4,7,16,11,15,5,2,2,1,0,0,8,0,2,5,7,0,0,8,0,0,9,0,0,5,0,3,0,3,0,2,20,10,4,1,0,0,0,0,4,0,0,2,0,3,10,1,0,0,10,0,0,6,0,0,0,0,0,1,0,7,8,0,5,4,1,1,0,8,0,6,3,4,5,6,0,2,0,2,0,0,0,0,4,0,17,12,4,13,3,0,10,0,2,1,4
15,0,0,0,3,0,0,2,0,6,12,10,11,4,0,1,0,0,8,8,0,0,4,4,0,0,7,0,8,8,0,0,1,0,0,0,2,0,10,15,12,2,0,0,0,0,0,4,0,0,1,0,0,8,1,0,8,9,0,0,5,0,0,0,0,0,0,2,15,7,0,4,1,1,1,8,4,0,5,2,0,7,3,2,1,2,1,0,0,0,2,0,8,19,9,3,12,2,2,8,2,0,3
16,0,0,0,0,2,0,0,0,0,4,11,10,10,4,0,1,0,0,9,7,0,0,2,1,0,0,4,0,7,7,0,0,6,0,1,0,0,0,7,14,11,1,0,0,0,0,0,3,0,0,0,0,0,9,2,0,7,9,0,0,3,0,0,0,0,0,0,5,15,8,0,2,0,2,0,6,5,0,4,0,0,5,2,2,0,1,0,0,0,0,1,0,9,18,8,3,11,1,7,7,1,0
17,0,0,0,0,0,1,0,0,0,0,2,10,8,9,6,0,0,0,0,6,6,0,8,4,0,0,4,1,0,5,6,0,0,5,0,0,0,0,4,5,13,10,3,0,0,0,0,0,5,0,0,8,0,0,7,0,0,5,6,0,8,5,0,0,0,0,0,0,5,13,6,8,1,0,0,0,4,3,0,8,0,8,3,0,0,0,0,0,0,0,0,0,0,8,16,6,2,9,0,5,6,0
18,0,2,0,0,0,5,0,2,0,2,0,6,7,12,5,2,0,0,0,0,8,3,0,5,1,0,0,0,0,0,2,8,0,5,2,0,2,0,0,0,10,9,6,0,2,0,0,5,0,1,2,0,4,0,0,3,0,0,1,2,0,5,2,5,0,2,0,0,0,3,12,5,5,0,0,2,0,1,0,0,4,0,5,2,0,0,0,0,5,0,5,0,0,5,6,15,11,1,8,0,10,3
19,0,0,1,5,0,0,4,0,1,0,1,0,5,7,10,3,1,0,2,0,0,7,1,0,4,0,0,0,0,0,0,1,8,0,7,7,0,1,0,0,0,9,7,5,0,7,0,0,3,0,0,0,0,6,2,0,2,5,0,0,0,0,4,1,10,0,2,0,0,2,8,10,4,7,0,0,4,0,0,0,0,2,0,10,1,0,0,0,0,5,0,4,0,0,4,11,14,10,1,7,0,10
20,0,0,10,0,15,5,0,0,10,0,0,0,0,2,5,8,2,0,0,12,2,0,4,0,10,3,0,0,0,0,0,0,0,5,0,6,3,0,0,0,0,0,7,6,1,0,6,0,0,1,0,0,0,0,5,1,0,1,3,0,0,0,0,1,0,7,0,1,0,0,1,5,9,3,6,0,0,3,0,0,0,0,0,0,9,0,10,10,0,0,2,0,3,0,0,3,8,13,9,0,4,0
21,0,1,0,10,5,19,9,1,0,11,1,5,0,5,0,1,5,0,0,2,13,3,0,1,0,7,2,0,0,0,0,1,0,4,3,0,7,0,0,0,4,0,0,4,7,1,0,10,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4,1,1,4,0,0,0,0,0,2,7,0,7,0,0,0,0,0,0,0,0,0,6,0,7,14,4,4,0,0,7,0,0,7,5,13,6,4,1
