,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,5,0,0,2,0,0,0,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,5,0,0,1,0,0,0,6,0,0,6,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0
3,0,0,0,3,0,0,3,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
4,0,0,0,0,1,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0
5,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,0,5,0,0,0,8,0
6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,9
7,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,2,1,5,0,0,0,1,5,0,0,0,3,0,0,0
8,0,1,0,0,13,3,0,0,3,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,2,0,1,0,2,0,0,3,0,0,0,2,0,0
9,0,0,0,5,3,12,2,0,0,2,0,0,0,0,0,0,6,7,1,0,5,0,0,0,0,7,0,0,0,3,5,0,3,0,0,0,0,0
10,0,0,0,0,4,13,9,0,0,0,12,2,0,0,0,0,0,2,6,0,0,1,0,0,0,0,3,0,0,0,2,2,0,0,0,10,0,0
11,0,4,1,0,0,3,10,6,0,2,2,9,4,0,1,0,0,0,2,4,0,0,0,0,7,0,0,2,0,0,0,3,1,0,0,0,9,0
12,0,4,5,0,0,0,0,7,6,2,1,0,11,3,1,1,0,0,0,0,3,0,0,0,7,6,0,0,2,0,0,1,2,0,0,0,0,6
13,0,1,3,3,8,0,0,0,9,5,1,0,1,10,2,9,9,0,0,0,0,0,0,0,0,5,2,0,2,2,0,0,0,0,0,0,0,0
14,0,0,0,2,2,18,8,0,0,8,15,5,0,0,8,1,8,5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,10,0,0
15,0,5,0,0,4,8,14,5,0,1,7,12,6,0,0,10,3,5,4,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,8,0
16,0,0,3,0,0,2,4,11,5,0,0,4,10,4,0,0,9,0,5,12,2,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,4
17,0,0,1,2,2,0,0,2,18,8,0,0,4,10,5,2,2,7,1,5,11,1,0,0,0,0,0,0,7,1,0,0,0,0,0,6,0,0
18,0,1,0,0,1,1,0,0,8,24,14,2,6,3,10,4,1,0,7,0,4,8,0,0,2,0,0,0,0,7,0,3,0,0,0,0,4,0
19,0,0,0,0,0,0,0,0,0,14,23,13,1,11,1,9,3,0,2,5,0,1,6,0,0,2,0,0,0,2,7,0,8,0,0,0,0,4
20,0,0,0,0,0,0,2,0,0,4,11,21,11,1,10,0,5,1,0,0,4,0,1,4,0,0,0,0,0,0,1,5,0,6,0,0,0,1
21,0,0,0,0,0,0,4,1,0,0,1,10,18,11,1,6,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,2,0,0,5
22,0,0,0,0,0,0,0,0,0,3,0,0,13,17,11,1,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,3,11,16,6,0,2,0,0,0,1,8,0,0,0,0,1,0,0,0,0,5,0,0,0,4,0
24,0,0,0,1,0,0,0,0,1,0,0,0,0,5,10,16,6,0,7,0,1,0,0,7,0,1,0,0,2,5,1,0,2,4,0,0,0,2
25,0,0,0,0,0,0,0,0,0,4,0,0,3,0,5,8,14,4,0,4,0,0,0,0,8,0,0,0,0,1,3,8,0,0,1,0,0,0
26,0,1,0,0,0,0,0,0,0,6,3,0,6,2,0,4,7,11,4,0,3,0,0,0,2,7,0,0,0,0,0,6,7,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,5,2,0,11,1,0,3,6,13,3,0,0,0,0,0,2,6,0,0,2,0,0,11,6,0,0,0,0
28,0,1,0,0,0,0,0,0,0,6,0,2,8,1,11,1,0,0,6,11,2,0,0,0,2,0,0,3,0,0,1,3,1,8,4,0,0,0
29,0,4,2,0,0,0,0,0,0,2,5,0,4,7,2,11,1,0,0,4,10,1,0,0,7,1,0,0,3,0,0,2,2,0,6,3,0,0
30,0,4,5,1,0,0,0,0,0,2,1,2,2,3,8,2,11,1,0,0,3,9,0,0,7,6,0,0,0,3,0,1,1,0,0,5,2,0
31,0,0,6,3,0,0,0,0,0,0,0,0,0,0,5,5,1,8,0,0,0,5,13,3,0,5,3,2,0,0,1,0,0,0,0,0,13,3
32,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,4,12,2,0,4,0,0,0,0,0,0,0,0,0,3,18
33,0,0,0,1,6,0,0,3,1,0,0,0,0,2,0,0,1,0,5,6,1,0,0,3,12,3,0,0,1,5,1,0,2,0,0,0,0,8
34,0,0,0,1,1,5,0,0,4,1,0,0,0,2,1,0,0,0,5,5,7,0,0,0,3,13,3,0,1,6,6,0,2,1,0,0,0,0
35,0,5,0,0,3,0,1,0,0,5,0,0,1,0,2,3,2,0,0,2,4,4,0,0,2,3,10,0,0,0,5,6,0,0,0,0,0,0
36,0,1,5,0,0,2,0,0,0,6,4,0,6,0,0,1,2,0,0,0,1,1,0,0,2,1,0,7,0,0,0,8,5,0,0,0,0,0
37,0,1,0,3,8,0,0,0,2,0,5,0,0,5,0,8,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7,1,0,0,0,0
38,0,0,0,0,2,6,0,0,0,0,0,2,0,0,3,0,7,6,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,4,9,0,0,0
39,0,1,0,0,0,1,3,0,0,6,0,0,8,0,0,2,0,4,6,0,7,0,0,0,2,0,0,0,0,0,8,3,0,0,2,8,0,0
40,0,0,0,5,0,0,0,2,0,0,5,0,0,8,0,0,0,0,5,6,5,4,0,0,0,7,0,0,0,1,5,6,3,0,0,1,6,0
41,0,0,0,0,4,0,0,0,2,0,0,4,0,5,6,0,0,0,2,3,6,2,2,0,0,0,6,0,0,2,1,4,11,2,0,0,0,6
42,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,5,0,0,0,10,3,3,0,0,0,0,0,3,0,0,2,0,2,8,10,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,8,0,0,0,0,15,5,0,0,0,0,0,5,6,2,0
44,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,5,0,1,8,15,7,0,1,0,5,16,10,1,0,2,0,0,4,4,0
45,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,5,14,6,5,0,0,6,17,15,5,0,1,0,0,2,4
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,4,10,3,3,1,0,7,14,12,3,0,0,0,4,1
47,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,10,5,3,8,0,5,0,0,5,13,10,0,0,0,8,3
48,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2,3,7,0,2,0,0,3,13,9,0,0,0,13
49,0,1,0,0,10,0,0,0,2,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,9,0,0,2,2,2,0,0,3,9,8,0,0,3
50,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,5,0,8,0,0,0,0,0,9,0,0,2,2,2,0,0,0,17,7,0,0
51,0,1,0,0,0,0,5,0,0,6,0,0,6,0,0,0,0,4,5,0,7,0,0,0,2,0,6,0,0,2,1,5,0,0,7,16,6,0
52,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,22,12,0,0,0,0,21,11,0,0,0,2,0,0,6,18,8
53,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,12,21,11,0,0,0,11,18,9,0,0,0,1,0,0,8,23
54,0,5,0,0,2,0,0,1,0,1,0,0,2,0,0,2,2,0,0,0,0,2,9,18,13,3,0,1,11,17,8,0,0,0,0,0,0,13
55,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,0,0,0,8,16,13,3,0,1,11,17,7,0,0,8,0,0,3
56,0,1,0,2,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,7,0,0,0,10,15,10,0,0,1,10,20,10,0,0,7,0,0
57,0,1,1,0,1,0,0,0,0,6,6,0,6,5,0,0,0,0,0,0,0,4,0,0,2,9,12,7,0,0,0,13,19,9,0,0,5,0
