,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1
2,0,8,0,0,2,0,0,0,0,2,0,0,3,0,0,0,2,0,0,1,0,2,0,2,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3,0,0,13,3,0,1,5,5,0,0,1,0,0,4,5,0,0,3,0,0,1,0,2,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4,0,0,3,9,2,0,0,4,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,11,10,0,0
5,0,0,1,2,8,2,1,1,1,2,0,0,0,5,1,2,0,5,0,0,2,0,0,0,1,0,2,5,0,0,0,0,0,0,5,1,0,1,10,8,0
6,0,0,0,0,4,15,5,0,0,8,0,0,2,0,4,0,4,0,3,0,0,4,0,2,0,2,0,0,2,0,0,0,0,0,0,5,0,0,0,9,5
7,0,0,0,0,0,5,14,4,5,0,6,4,0,0,0,2,0,1,2,1,0,0,0,0,0,0,1,0,0,1,2,0,5,0,0,0,3,0,0,0,13
8,0,2,0,0,6,2,4,13,3,7,0,3,10,0,0,0,8,0,0,0,0,6,0,6,2,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,3
9,0,0,2,0,0,3,2,4,17,7,6,5,0,8,0,0,0,6,1,0,0,0,2,0,2,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,5
10,0,0,0,0,1,2,2,1,7,19,9,3,6,0,7,0,1,0,3,0,0,1,0,3,0,5,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
11,0,8,0,0,2,1,0,0,0,9,15,5,5,6,0,3,2,1,0,0,0,2,0,2,11,1,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0
12,0,0,8,0,0,0,1,0,4,0,8,20,10,3,6,0,0,0,2,0,0,0,0,0,1,8,1,0,0,0,1,0,4,0,0,0,1,0,0,0,5
13,0,0,0,7,0,0,0,1,0,3,0,10,19,12,3,5,0,2,0,1,5,0,0,0,0,0,13,3,0,0,0,0,0,2,2,0,0,0,0,0,0
14,0,8,0,0,9,0,0,0,0,0,0,0,12,19,10,0,7,0,0,0,0,7,0,2,8,0,3,12,2,0,0,0,0,0,2,4,0,0,0,0,0
15,0,0,8,0,0,8,0,0,0,0,0,0,2,14,19,9,0,9,0,0,5,0,5,0,1,7,5,2,11,1,0,0,0,0,2,2,3,0,0,0,0
