,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,5,0,0,0,4,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,4,0,0,0,0,4,0,0,4,5,0,0,0,0,0,0,5,0,0,4,1,0,1,1,0,0,0,0,1,4,0,0,0,0,0,0,4,5,5
2,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,3,0,3,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2
3,0,0,0,0,1,7,0,0,4,0,0,0,0,0,0,3,1,0,8,0,0,0,0,0,8,0,0,1,0,3,0,0,10,1,0,0,0,3,0,0,0,0,0,7,0,0,0,0,10,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0
4,0,0,1,0,0,0,9,0,0,3,5,5,0,5,0,0,1,0,0,6,3,0,0,0,0,4,3,0,3,0,5,0,0,8,0,2,0,0,5,1,0,0,0,0,4,0,1,0,0,12,5,0,6,5,0,0,0,0,5,2,0,0,0,0,0,2,2,1,1
5,0,0,1,0,0,0,2,7,0,0,8,10,1,5,3,0,0,0,0,0,9,2,0,0,0,0,7,1,2,0,2,4,0,0,5,2,0,0,2,6,0,0,0,0,0,3,1,0,0,2,17,7,3,11,2,0,0,0,5,7,0,0,0,0,0,0,4,3,2
6,0,0,0,6,0,0,0,2,6,5,0,7,10,0,5,2,0,0,0,0,0,14,4,0,0,0,0,6,0,1,0,7,3,0,0,4,0,0,0,2,4,0,2,0,0,5,3,0,0,0,7,16,6,2,10,1,0,0,0,4,9,0,0,0,0,5,0,4,3
7,0,0,0,0,6,0,0,5,1,6,3,0,6,8,5,4,1,0,0,5,0,4,12,3,0,0,0,0,5,0,0,0,5,2,0,0,4,0,0,0,2,3,1,0,0,0,5,3,0,0,0,6,15,5,1,8,0,0,0,0,5,14,4,0,0,0,4,0,4
8,0,0,0,2,0,5,0,1,5,3,3,0,1,3,9,5,4,0,0,1,3,2,3,11,3,0,0,0,0,5,0,2,0,5,1,0,0,4,0,0,0,1,8,0,0,2,0,5,2,0,0,0,5,12,4,1,8,1,0,0,5,6,13,4,0,2,0,2,0
9,0,2,0,0,0,0,1,0,3,4,0,0,0,0,2,10,7,3,2,0,0,2,2,2,13,3,0,2,0,1,1,0,2,2,11,1,0,2,0,0,0,0,0,8,6,0,0,0,5,0,0,1,0,2,18,8,3,8,0,0,0,4,6,10,5,0,0,0,0
10,0,0,0,0,0,7,0,0,1,2,1,0,0,0,0,5,11,4,1,0,0,0,2,0,3,10,1,1,0,3,0,0,7,3,2,7,0,1,0,0,0,0,0,7,8,5,0,0,7,1,0,3,0,0,8,16,9,2,5,0,0,0,4,3,13,4,0,0,0
11,0,2,0,0,0,0,3,0,2,0,0,0,0,0,0,1,7,10,6,0,0,0,0,1,2,0,8,3,0,1,0,0,0,9,9,0,4,2,0,0,0,0,0,0,13,7,2,0,0,3,0,1,1,0,6,10,18,9,0,1,0,0,0,1,4,12,2,0,0
12,0,0,0,0,0,7,0,1,1,1,0,0,0,0,0,3,2,4,8,4,0,0,0,0,0,0,0,9,0,3,0,0,7,1,9,5,0,5,0,0,0,0,0,7,3,12,4,0,7,0,0,3,0,0,0,4,11,17,7,0,0,0,0,0,4,3,8,0,0
13,0,0,1,0,0,0,9,0,0,0,6,5,0,5,0,0,1,0,0,6,7,0,0,0,0,0,3,0,11,1,5,0,0,5,0,11,1,0,7,1,0,0,0,0,4,2,13,3,0,9,5,0,6,5,0,0,2,7,22,12,0,0,0,0,0,3,5,9,1
14,0,2,0,0,0,0,0,8,2,0,0,3,5,0,4,1,2,0,2,0,4,6,0,0,2,0,0,5,1,12,2,4,0,2,11,1,8,3,0,4,0,0,0,0,6,3,3,10,3,0,6,6,0,3,11,2,2,2,12,18,11,1,0,0,1,0,0,2,6
15,0,0,0,0,0,0,0,0,7,1,0,0,1,1,0,3,0,12,2,1,0,3,4,10,0,0,0,0,2,2,9,1,1,0,1,8,0,7,0,0,2,0,0,0,0,5,0,1,7,0,0,5,3,0,2,10,1,0,2,9,17,10,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,5,2,1,0,2,0,0,0,2,7,0,1,0,2,0,5,0,0,0,0,0,2,7,0,0,0,1,4,0,7,0,0,0,0,0,0,0,4,0,0,7,1,0,5,4,0,0,6,0,1,2,7,14,9,0,0,0,0,0,0
17,0,0,4,0,0,0,5,0,0,0,7,4,0,2,1,0,0,0,0,6,2,0,0,0,0,1,2,0,5,0,5,1,3,0,0,5,0,1,5,11,1,0,0,0,0,0,4,0,0,5,9,0,2,7,0,0,0,3,2,6,0,6,10,5,0,0,5,4,4
18,0,8,0,3,0,0,0,3,0,0,0,3,6,0,0,0,0,0,8,0,2,1,0,0,8,0,0,2,0,4,0,4,0,3,2,0,4,0,0,1,10,0,0,0,2,0,0,3,0,0,1,8,0,0,9,8,0,2,0,0,6,0,5,9,4,0,0,1,0
19,0,0,5,0,1,1,0,0,10,0,0,0,3,4,0,2,7,0,0,7,0,1,2,0,0,6,0,7,0,2,1,0,5,7,5,0,0,11,1,0,0,7,0,1,2,1,0,0,4,0,0,3,8,0,2,9,15,5,0,0,0,5,1,3,11,3,0,0,0
20,0,0,4,4,0,0,6,0,0,9,2,2,0,5,3,0,0,4,0,0,9,0,0,0,0,0,8,0,12,2,7,0,0,2,3,10,0,1,16,6,0,0,4,0,0,1,5,0,0,9,2,0,5,10,0,0,6,12,7,5,0,0,1,0,1,10,8,4,4
21,0,0,0,2,2,0,0,4,1,0,6,0,3,0,3,3,1,0,3,0,0,7,10,0,0,0,0,9,2,12,2,5,0,1,2,0,8,1,6,12,4,0,0,4,0,0,0,3,0,0,6,2,0,2,10,0,1,7,9,3,4,0,10,0,0,0,6,4,0
22,0,0,0,0,0,1,0,0,3,0,0,5,0,2,0,1,2,0,0,1,0,0,9,7,0,0,0,0,8,2,11,1,4,0,0,1,0,7,0,5,9,1,0,0,2,0,0,0,2,0,0,4,2,0,0,7,0,0,6,8,1,2,2,7,0,0,0,5,3
23,0,0,0,2,0,0,0,1,0,5,0,0,6,0,3,0,1,1,0,1,0,2,0,8,7,0,0,0,0,8,1,13,3,4,0,0,1,0,4,0,5,8,6,0,0,4,0,0,0,0,0,0,2,0,0,0,7,1,0,3,13,3,1,2,7,2,0,0,3
24,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,11,1,0,0,0,0,10,7,5,0,0,0,0,5,3,10,2,3,0,0,0,0,1,0,1,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,3,12,2,0,1,6,0,0,0
25,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,3,3,1,9,0,0,0,0,0,8,4,3,1,0,3,0,4,10,11,2,0,0,1,0,0,0,0,0,14,4,0,0,0,7,0,0,3,0,0,0,0,1,0,2,0,0,2,12,2,3,0,2,0,0
26,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,2,0,0,5,4,2,0,0,2,0,3,9,9,1,0,0,0,0,0,0,0,4,12,2,0,0,0,6,0,0,3,0,0,0,0,0,0,1,0,0,4,9,0,1,0,1,0
27,0,0,0,0,0,0,0,11,1,0,0,0,0,0,5,0,0,1,0,5,6,0,0,1,0,0,4,3,1,0,0,2,0,2,8,8,1,0,0,0,0,0,1,0,3,12,2,0,0,0,4,0,0,1,0,0,0,0,0,0,2,5,0,4,8,0,0,0,1
28,0,8,0,0,0,0,0,1,11,1,0,0,2,0,0,4,0,0,9,0,1,5,0,0,9,0,0,4,0,0,0,0,0,0,4,4,7,1,0,0,0,0,0,0,2,2,8,1,0,0,0,3,0,0,3,8,0,2,0,0,0,0,4,0,3,7,0,0,0
29,0,8,4,0,0,0,0,0,1,10,0,0,2,0,0,0,4,0,8,7,0,0,4,0,8,8,0,0,0,0,0,0,0,0,2,0,3,7,0,0,0,0,0,0,2,1,0,7,0,0,0,0,0,0,2,11,8,2,0,0,0,0,0,3,0,2,3,0,0
30,0,2,5,3,0,0,0,0,2,0,7,0,0,0,0,1,2,3,2,7,5,0,0,3,2,5,6,2,0,1,0,0,0,2,6,0,0,5,3,0,0,0,0,0,6,1,0,0,7,0,0,1,0,0,6,4,13,8,0,0,0,0,0,0,4,0,0,0,0
31,0,0,1,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,3,2,0,0,0,5,5,1,0,0,0,0,0,0,5,0,0,4,2,0,0,0,0,0,4,0,0,0,6,0,0,1,0,0,3,3,11,7,0,0,0,2,0,0,2,0,0,0
32,0,2,0,0,0,0,0,0,2,0,0,0,6,0,0,1,2,0,2,0,0,6,3,1,2,0,0,7,1,2,0,0,0,2,6,0,2,2,0,1,0,0,0,0,6,0,1,0,0,0,3,1,0,0,6,2,5,3,8,3,0,0,0,0,1,0,0,0,0
33,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,1,0,0,0,0,5,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,3,1,3,2,7,1,0,2,0,0,0,0,0,0
34,0,0,0,0,0,7,0,0,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0,5,0,0,0,1,0,9,0,0,7,1,0,0,2,1,0,0,0,0,0,7,0,0,1,0,7,0,0,3,0,0,0,0,4,0,0,0,6,0,0,0,3,0,0,0,0
35,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,3,4,0,0,0,0,0,10,0,4,0,0,1,0,0,5,0,0,8,1,0,0,3,0,0,0,0,0,0,7,0,0,0,0,3,0,0,2,0,0,0,1,5,0,0,0,4,10,0,0,1,0,0,0
36,0,0,5,0,0,0,4,3,0,1,1,1,0,2,0,0,0,1,0,0,1,0,0,7,0,0,1,0,5,0,4,5,0,0,5,5,0,0,7,5,0,0,0,0,0,7,5,0,0,4,4,0,1,3,0,0,0,0,6,4,0,0,0,6,0,0,5,5,5
