,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0
2,0,0,0,2,0,0,0,7,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,2,8,8,2,0,0,2,2,0,0,0,0,0,4,0,4,0,0,0,0,3,0,0,0,8,0,0,0,0,3,2,0,0,2,0,2,0
3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,13,13,3,0,5,0,0,0,0,0,4,5,1,13,3,0,0,0,0,0,0,0,2,0,0,0,13,3,0,2,0,0,0,21,13,3,0,0,1,0,0,0,1,0,0
4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,10,10,2,8,5,0,0,0,0,0,1,3,3,10,0,0,0,0,0,0,0,0,10,0,0,3,9,1,0,0,0,0,11,18,10,0,0,0,0,0,0,0,0,0
5,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,12,9,0,6,7,0,1,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,8,0,0,0,9,0,0,0,0,1,8,20,10,0,1,1,0,0,0,0,1
6,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,2,8,5,0,5,4,0,0,0,0,0,0,0,0,7,0,0,0,4,0,4,0,0,5,0,5,0,9,0,0,0,0,0,10,24,14,2,0,6,0,0,0,0
7,0,0,0,1,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,0,3,6,8,8,2,0,0,2,2,0,5,0,0,0,3,0,3,0,0,1,0,4,0,4,0,8,0,0,0,12,22,16,6,0,4,0,2,0
8,0,0,0,0,1,0,0,0,5,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,8,1,0,4,6,8,7,4,0,0,1,1,1,6,0,0,0,0,0,2,0,0,0,0,5,0,4,0,7,0,0,2,13,23,16,6,0,5,0,2
9,0,3,5,0,0,0,2,0,0,2,0,1,0,0,0,0,0,4,5,0,0,0,0,0,0,0,8,7,0,0,0,2,5,6,2,0,0,0,0,0,3,2,0,2,0,0,0,0,1,0,0,6,0,0,0,5,0,2,3,11,21,17,7,0,2,0
