,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,1,0,0
2,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0
3,0,0,0,0,0,1,0,0,0,7,0,9,0,4,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,0,7,0,0,0,0,0,0,1,10,1,0,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,2,7,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
4,0,0,0,5,5,0,1,5,0,0,6,0,14,4,2,0,0,2,0,0,5,0,5,0,4,0,2,2,5,0,2,0,0,0,0,0,0,0,0,3,0,0,6,0,6,0,0,0,5,2,0,0,9,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,0,1,1,1,5,0,0,0,0,1,0,5,0,0,7,0,0,0,5,0,0,2,0,0,0,0,0,10,2,0,0
5,0,5,2,0,4,1,0,0,1,0,0,5,4,10,0,1,0,0,0,4,0,4,0,1,2,6,0,0,1,2,0,0,2,0,0,4,0,4,0,0,0,0,0,10,5,2,0,0,0,2,0,0,0,5,0,0,0,0,4,0,0,0,2,0,0,2,3,0,2,5,0,4,0,0,5,0,6,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,6,0,2,0,1,5,0,7,0,0,0,0,0,7,4,0
6,0,0,4,7,5,3,1,5,0,0,0,0,10,3,8,0,0,2,0,0,9,0,9,0,0,1,8,2,5,1,4,0,0,1,0,0,2,0,3,2,0,0,0,0,9,3,2,0,5,2,1,0,0,0,4,0,0,2,0,2,2,0,0,1,0,0,1,1,0,1,3,0,4,0,0,7,0,5,0,2,0,6,0,0,0,0,0,0,3,0,0,0,0,5,0,4,5,0,6,0,7,0,0,7,0,6,0,0,0,2,2,6,3
7,0,0,0,3,6,5,3,0,2,2,0,0,0,12,3,6,0,0,2,0,0,8,0,9,0,0,0,7,1,5,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,6,2,0,0,4,1,0,2,0,1,2,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,7,6,6,2,0,0,2,1,6,2,0,0,2,6,3,3,0,3,0,4,0,0,3,0,6,0,0,0,1,0,3
8,0,2,3,0,2,3,1,2,0,0,0,0,0,2,9,2,5,0,0,3,0,0,7,0,14,5,0,0,6,0,2,0,9,0,0,1,1,1,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,5,5,0,5,2,0,1,0,0,3,0,1,1,1,0,1,0,0,4,3,4,1,0,0,1,0,2,0,0,1,0,5,2,1,5,2,0,6,0,2,1,0,2,0,0,0,6,0
9,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,6,0,4,0,0,2,0,0,3,4,12,4,0,0,4,0,0,0,22,12,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,4,0,0,5,0,15,5,0,0,0,0,0,19
